student_id,course,exam_id,score
230748,course1,pNdxJnEf,67
186851,course1,pNdxJnEf,74
478370,course1,pNdxJnEf,74
692328,course1,pNdxJnEf,89
509128,course1,pNdxJnEf,84
604234,course1,pNdxJnEf,99
992922,course1,pNdxJnEf,75
488841,course1,pNdxJnEf,90
831322,course1,pNdxJnEf,75
940245,course1,pNdxJnEf,81
543834,course1,pNdxJnEf,73
775703,course1,pNdxJnEf,90
967766,course1,pNdxJnEf,91
291359,course1,pNdxJnEf,93
226218,course1,pNdxJnEf,87
108246,course1,pNdxJnEf,82
209909,course1,pNdxJnEf,68
908801,course1,pNdxJnEf,83
227895,course1,pNdxJnEf,70
360479,course1,pNdxJnEf,92
121935,course1,pNdxJnEf,84
516713,course1,pNdxJnEf,95
553260,course1,pNdxJnEf,74
862740,course1,pNdxJnEf,86
282390,course1,pNdxJnEf,90
835300,course1,pNdxJnEf,94
974852,course1,pNdxJnEf,72
401010,course1,pNdxJnEf,99
321731,course1,pNdxJnEf,98
864600,course1,pNdxJnEf,68
712554,course1,pNdxJnEf,88
403854,course1,pNdxJnEf,73
380636,course1,pNdxJnEf,97
884795,course1,pNdxJnEf,77
109609,course1,pNdxJnEf,86
869343,course1,pNdxJnEf,95
992790,course1,pNdxJnEf,78
886338,course1,pNdxJnEf,75
607251,course1,pNdxJnEf,87
458921,course1,pNdxJnEf,80
540941,course1,pNdxJnEf,70
518176,course1,pNdxJnEf,59
686297,course1,pNdxJnEf,99
318850,course1,pNdxJnEf,70
475067,course1,pNdxJnEf,85
469477,course1,pNdxJnEf,82
348194,course1,pNdxJnEf,68
336101,course1,pNdxJnEf,71
945985,course1,pNdxJnEf,88
530345,course1,pNdxJnEf,75
978592,course1,pNdxJnEf,70
834710,course1,pNdxJnEf,93
808214,course1,pNdxJnEf,91
736281,course1,pNdxJnEf,96
694324,course1,pNdxJnEf,74
196248,course1,pNdxJnEf,83
589614,course1,pNdxJnEf,95
199656,course1,pNdxJnEf,75
412014,course1,pNdxJnEf,93
479069,course1,pNdxJnEf,90
383659,course1,pNdxJnEf,97
827315,course1,pNdxJnEf,87
798551,course1,pNdxJnEf,80
296553,course1,pNdxJnEf,90
904604,course1,pNdxJnEf,76
928320,course1,pNdxJnEf,89
459986,course1,pNdxJnEf,81
547794,course1,pNdxJnEf,90
357891,course1,pNdxJnEf,75
579396,course1,pNdxJnEf,83
302655,course1,pNdxJnEf,75
300533,course1,pNdxJnEf,85
422763,course1,pNdxJnEf,77
413801,course1,pNdxJnEf,69
231778,course1,pNdxJnEf,87
524054,course1,pNdxJnEf,91
829824,course1,pNdxJnEf,76
893681,course1,pNdxJnEf,91
796501,course1,pNdxJnEf,80
650787,course1,pNdxJnEf,91
717852,course1,pNdxJnEf,83
606458,course1,pNdxJnEf,71
589305,course1,pNdxJnEf,72
171985,course1,pNdxJnEf,99
287830,course1,pNdxJnEf,71
197608,course1,pNdxJnEf,80
201223,course1,pNdxJnEf,76
381902,course1,pNdxJnEf,78
706896,course1,pNdxJnEf,82
380348,course1,pNdxJnEf,100
970250,course1,pNdxJnEf,73
316985,course1,pNdxJnEf,92
540825,course1,pNdxJnEf,84
135803,course1,pNdxJnEf,68
832330,course1,pNdxJnEf,74
152455,course1,pNdxJnEf,96
310537,course1,pNdxJnEf,90
303640,course1,pNdxJnEf,77
294031,course1,pNdxJnEf,88
169850,course1,pNdxJnEf,93
429749,course1,pNdxJnEf,100
891926,course1,pNdxJnEf,77
620367,course1,pNdxJnEf,86
958466,course1,pNdxJnEf,88
722283,course1,pNdxJnEf,81
516717,course1,pNdxJnEf,84
362479,course1,pNdxJnEf,82
375485,course1,pNdxJnEf,84
658591,course1,pNdxJnEf,91
545893,course1,pNdxJnEf,98
464124,course1,pNdxJnEf,78
281402,course1,pNdxJnEf,93
403497,course1,pNdxJnEf,95
463350,course1,pNdxJnEf,76
608293,course1,pNdxJnEf,79
283993,course1,pNdxJnEf,86
493710,course1,pNdxJnEf,84
668710,course1,pNdxJnEf,71
189876,course1,pNdxJnEf,85
226409,course1,pNdxJnEf,77
558602,course1,pNdxJnEf,74
993944,course1,pNdxJnEf,81
179185,course1,pNdxJnEf,87
204214,course1,pNdxJnEf,96
456140,course1,pNdxJnEf,76
677402,course1,pNdxJnEf,85
200972,course1,pNdxJnEf,87
345956,course1,pNdxJnEf,79
432115,course1,pNdxJnEf,89
806878,course1,pNdxJnEf,92
562111,course1,pNdxJnEf,81
886057,course1,pNdxJnEf,93
401344,course1,pNdxJnEf,78
617922,course1,pNdxJnEf,64
991626,course1,pNdxJnEf,74
155180,course1,pNdxJnEf,79
433434,course1,pNdxJnEf,88
657835,course1,pNdxJnEf,88
421526,course1,pNdxJnEf,70
422410,course1,pNdxJnEf,96
913358,course1,pNdxJnEf,82
452813,course1,pNdxJnEf,87
659748,course1,pNdxJnEf,80
785000,course1,pNdxJnEf,76
443205,course1,pNdxJnEf,73
821164,course1,pNdxJnEf,96
808194,course1,pNdxJnEf,77
875532,course1,pNdxJnEf,92
234041,course1,pNdxJnEf,98
533705,course1,pNdxJnEf,86
558210,course1,pNdxJnEf,99
565221,course1,pNdxJnEf,69
871091,course1,pNdxJnEf,79
383214,course1,pNdxJnEf,82
544929,course1,pNdxJnEf,82
145842,course1,pNdxJnEf,82
356607,course1,pNdxJnEf,85
365270,course1,pNdxJnEf,90
120313,course1,pNdxJnEf,79
595460,course1,pNdxJnEf,78
242831,course1,pNdxJnEf,74
170800,course1,pNdxJnEf,86
129826,course1,pNdxJnEf,80
849811,course1,pNdxJnEf,82
706265,course1,pNdxJnEf,85
151480,course1,pNdxJnEf,92
516772,course1,pNdxJnEf,90
999038,course1,pNdxJnEf,80
894387,course1,pNdxJnEf,88
283294,course1,pNdxJnEf,72
751650,course1,pNdxJnEf,87
461256,course1,pNdxJnEf,88
169846,course1,pNdxJnEf,85
442229,course1,pNdxJnEf,86
227603,course1,pNdxJnEf,91
870766,course1,pNdxJnEf,73
154046,course1,pNdxJnEf,78
499636,course1,pNdxJnEf,83
867580,course1,pNdxJnEf,82
896700,course1,pNdxJnEf,77
108319,course1,pNdxJnEf,65
795696,course1,pNdxJnEf,86
244358,course1,pNdxJnEf,90
457928,course1,pNdxJnEf,71
420269,course1,pNdxJnEf,98
774630,course1,pNdxJnEf,82
874310,course1,pNdxJnEf,86
665197,course1,pNdxJnEf,82
366068,course1,pNdxJnEf,86
731769,course1,pNdxJnEf,68
989481,course1,pNdxJnEf,64
344995,course1,pNdxJnEf,66
677361,course1,pNdxJnEf,93
659000,course1,pNdxJnEf,75
800444,course1,pNdxJnEf,73
763906,course1,pNdxJnEf,73
689241,course1,pNdxJnEf,87
927355,course1,pNdxJnEf,74
732269,course1,pNdxJnEf,68
112519,course1,pNdxJnEf,97
